PN; POLCENIGO  ; VIA PEDEMONTANA 32     ; VIA PEDEMONTANA 32     ,  POLCENIGO  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,751;1,751
UD; COMEGLIANS ; SS.355     ; SS.355     ,  COMEGLIANS ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,751;1,711
TS; DUINO AURISINA         ; A4 DUINO SUD           ; A4 DUINO SUD           ,  DUINO AURISINA         ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  A/N;1,751;1,704
PN; MANIAGO    ; VIA ARBA 45; VIA ARBA 45,  MANIAGO    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,751;1,669
UD; POVOLETTO  ; FRAZ.RAVOSA V.RIO MAGGIORE 17 ; FRAZ.RAVOSA V.RIO MAGGIORE 17 ,  POVOLETTO  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,75;1,75
UD; GONARS     ; A4 GONARS NORD         ; A4 GONARS NORD         ,  GONARS     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  A/N;1,749;1,749
PN; AZZANO DECIMO          ; VIA I MAGGIO 59        ; VIA I MAGGIO 59        ,  AZZANO DECIMO          ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,749;1,749
UD; TORREANO DI CIVIDALE   ; LOC.CROSADA 5          ; LOC.CROSADA 5          ,  TORREANO DI CIVIDALE   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,748;1,748
UD; UDINE      ; V.LE L.DA VINCI 147    ; V.LE L.DA VINCI 147    ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,748;1,748
GO; GRADISCA D'ISONZO      ; VIA UDINE 60           ; VIA UDINE 60           ,  GRADISCA D'ISONZO      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,748;1,748
UD; CAMPOFORMIDO           ; SS 13 PONTEBBANA KM 122/763   ; SS 13 PONTEBBANA KM 122/763   ,  CAMPOFORMIDO           ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S/N;1,748;1,708
UD; S. VITO AL TORRE       ; VIA GORIZIA 12         ; VIA GORIZIA 12         ,  S. VITO AL TORRE       ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,748;1,708
PN; MONTEREALE VALCELLINA  ; VIA DELL'OMO 47/A      ; VIA DELL'OMO 47/A      ,  MONTEREALE VALCELLINA  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,748;1,656
UD; CODROIPO   ; V.LE DUODO 52          ; V.LE DUODO 52          ,  CODROIPO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,747;1,747
TS; TRIESTE    ; VIA FORLANINI-LOC.CATTINARA   ; VIA FORLANINI-LOC.CATTINARA   ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,746;1,699
